rank,city,region,postal_code,population
441,Longview,TX,75602,106896
442,Spokane Valley,WA,99206,106365
443,El Monte,CA,91731,106109
444,Brockton,MA,02301,105386
445,Renton,WA,98059,105317
446,Buckeye,AZ,85326,104923
447,New Braunfels,TX,78132,104643
448,Inglewood,CA,90305,104569
449,Edinburg,TX,78539,104550
450,Burbank,CA,91506,104546
451,El Cajon,CA,92020,104449
452,Columbia,MD,21044,104338
453,Rialto,CA,92316,104143
454,Portsmouth,NH,03801,104019
455,Lee's Summit,MO,64086,103656
456,Kingsport,TN,37665,103542
457,Charlottesville,VA,22908,103155
458,San Mateo,CA,94404,103105
459,Vacaville,CA,95687,102596
460,Wichita Falls,TX,76309,102581
461,Longmont,CO,80501,102512
462,Conroe,TX,77384,102360
463,Fishers,IN,46038,102337
464,Highlands Ranch,CO,80129,102257
465,Quincy,MA,02169,102114
466,Daly City,CA,94015,101964
467,Lynn,MA,01905,101709
468,Carmel,IN,46290,101651
469,Hesperia,CA,92345,100775
470,Bismarck,ND,58505,100537
471,Santa Fe,NM,87505,100264
472,Boca Raton,FL,33496,100234
473,Norwalk,CA,90650,99789
474,San Angelo,TX,76905,99674
475,Lafayette,CO,80026,99552
476,Federal Way,WA,98023,99493
477,Atascocita,TX,77346,99354
478,Vista,CA,92084,99114
479,Prescott Valley,AZ,86327,98921
480,Suffolk,VA,23433,98796
481,Palm Coast,FL,32164,98258
482,Williamsburg,VA,23185,97985
483,Sunrise,FL,33322,97918
484,Beaverton,OR,97225,97812
485,Middletown,OH,45044,97529
486,Lawrence,KS,66045,97387
487,La Crosse,WI,54603,97218
488,Portsmouth,VA,23709,97190
489,Orem,UT,84097,97182
490,Tracy,CA,95377,96966
491,Edmond,OK,73013,96825
492,Plantation,FL,33322,96293
493,Fort Myers,FL,33913,95051
494,Arden-Arcade,CA,95821,94994
495,San Marcos,CA,92078,94882
496,San Germán,PR,00683,94548
497,Sandy,UT,84092,94291
498,Manteca,CA,95337,94158
499,Fall River,MA,02724,94082
500,Mount Pleasant,SC,29466,93993
501,Livonia,MI,48152,93851
502,O'Fallon,MO,63367,93801
503,Rapid City,SD,57702,92897
504,Carson,CA,90248,92871
505,Compton,CA,90220,92698
506,Chino,CA,91708,92652
507,Hoover,AL,35216,92642
508,Roswell,GA,30075,92621
509,Kirkland,WA,98039,92621
510,Avondale,AZ,85353,92477
511,Alafaya,FL,32825,92449
512,Norwalk,CT,06854,92187
513,South Gate,CA,90280,91483
514,Santa Monica,CA,90401,91169
515,Slidell,LA,70460,90755
516,Florence,SC,29505,90753
517,Germantown,MD,20876,90719
518,Lawton,OK,73503,90595
519,Missoula,MT,59812,90522
520,Mayagüez,PR,00682,90228
521,Westminster,CA,92655,89860
522,Joplin,MO,64804,89808
523,Clifton,NJ,07014,89379
524,Waukegan,IL,60048,89076
525,Newton,MA,02464,89044
526,Lawrence,MA,01843,88736
527,Bloomington,MN,55420,88665
528,St. Augustine,FL,32080,88385
529,Springdale,AR,72764,88160
530,Deerfield Beach,FL,33442,88093
531,Bryan,TX,77808,87939
532,Troy,MI,48098,87898
533,San Leandro,CA,94578,87826
534,Franklin,TN,37069,87133
535,Mission,TX,78574,87038
536,Citrus Heights,CA,95621,86995
537,Melbourne,FL,32934,86576
538,Lake Forest,CA,92610,86281
539,Whittier,CA,90603,86165
540,Winchester,VA,22601,86067
541,Georgetown,TX,78633,85999
542,San Ramon,CA,94582,85993
543,Town 'n' Country,FL,33635,85928
544,Auburn,WA,98001,85676
545,Livermore,CA,94550,85522
546,Muncie,IN,47306,85519
547,Baytown,TX,77520,85205
548,Hawthorne,CA,90304,85191
549,Lehi,UT,84043,85173
550,Wenatchee,WA,98801,85048
551,North Port,FL,34286,84605
552,State College,PA,16802,84463
553,Vineland,NJ,08344,84416
554,Folsom,CA,95630,83916
555,Brooklyn Park,MN,55429,83876
556,Newport Beach,CA,92662,83845
557,Mountain View,CA,94043,83732
558,Westland,MI,48185,83633
559,Farmington Hills,MI,48336,83515
560,The Villages,FL,32163,83498
561,Layton,UT,84041,83286
562,Cranston,RI,02831,83250
563,Warwick,RI,02818,83175
564,Madera,CA,93638,83104
565,Buena Park,CA,90621,82871
566,Homestead,FL,33035,82807
567,Cicero,IL,60804,82797
568,New Rochelle,NY,10801,82769
569,South Jordan,UT,84095,82686
570,Largo,FL,33756,82617
571,Redwood City,CA,94065,82447
572,Newark,OH,43055,82292
573,Napa,CA,94559,82103
574,Miami Beach,FL,33140,82031
575,Johns Creek,GA,30022,81988
576,Rancho Cordova,CA,95742,81849
577,Silver Spring,MD,20910,81462
578,Boynton Beach,FL,33426,81435
579,Elizabethtown,KY,42701,81379
580,Flagstaff,AZ,86011,81235
581,Somerville,MA,02144,81036
582,Alhambra,CA,91803,81022
583,Springfield,OH,45503,80812
584,Albany,GA,31705,80684
585,Anderson,IN,46016,80597
586,Terre Haute,IN,47804,80554
587,Perris,CA,92570,80511
588,Jackson,MI,49201,80503
589,Florence,AL,35632,80501
590,Pharr,TX,78577,80333
591,Alton,IL,62018,80162
592,Anniston,AL,36201,80156
593,Jonesboro,AR,72467,80137
594,Decatur,IL,62522,80124
595,Pine Hills,FL,32808,80105
596,Cheyenne,WY,82009,79986
597,Port Huron,MI,48060,79899
598,Parma,OH,44134,79870
599,Lakewood,CA,90715,79850
600,Hattiesburg,MS,39401,79749
601,Turlock,CA,95380,79611
602,Pasco,WA,99301,79575
603,Kendall,FL,33173,79562
604,Upland,CA,91784,79257
605,Plymouth,MN,55442,79220
606,Doral,FL,33178,79216
607,Castle Rock,CO,80104,79123
608,Valdosta,GA,31698,79120
609,Daytona Beach,FL,32124,78992
610,Tustin,CA,92780,78981
611,Milpitas,CA,95035,78578
612,Loveland,CO,80537,78410
613,Flower Mound,TX,75022,78389
614,Woodbury,MN,55129,78305
615,Cedar Park,TX,78613,78301
616,Bethlehem,PA,18017,77956
617,Chino Hills,CA,91709,77927
618,Wausau,WI,54401,77888
619,Morgantown,WV,26501,77875
620,Davis,CA,95618,77858
621,Mableton,GA,30126,77678
622,Mansfield,TX,76063,77510
623,Wyoming,MI,49509,77353
624,Redmond,WA,98052,77353
625,Alameda,CA,94501,77238
626,Saratoga Springs,NY,12866,77152
627,Rochester Hills,MI,48306,77089
628,Pleasanton,CA,94566,76960
629,Carmichael,CA,95841,76948
630,Camarillo,CA,93012,76945
631,Schaumburg,IL,60193,76868
632,Bellflower,CA,90706,76819
633,Texarkana,TX,75501,76783
634,Hammond,IN,46394,76768
635,Salisbury,MD,21804,76593
636,Missouri City,TX,77545,76558
637,Dothan,AL,36303,76419
638,Alexandria,LA,71302,76381
639,Evanston,IL,60201,76340
640,Broomfield,CO,80023,76304
641,Pittsburg,CA,94565,76257
642,Southfield,MI,48033,76236
643,Wesley Chapel,FL,33543,76011
644,Arlington Heights,IL,60005,76005
645,Pawtucket,RI,02861,75893
646,Apple Valley,CA,92308,75473
647,Sheboygan,WI,53083,75453
648,Oshkosh,WI,54985,75313
649,Ellicott City,MD,21042,75257
650,Mansfield,OH,44905,75233
651,Poinciana,FL,33896,75068
652,Lodi,CA,95240,75044
653,Battle Creek,MI,49015,74983
654,Lauderhill,FL,33351,74896
655,Lebanon,PA,17046,74675
656,Lakeville,MN,55044,74354
657,Dover,NH,03820,74236
658,New Britain,CT,06052,74223
659,Bolingbrook,IL,60440,74096
660,Leander,TX,78641,74067
661,Owensboro,KY,42301,73882
662,Conway,AR,72032,73817
663,Harrisonburg,VA,22801,73815
664,Redlands,CA,92359,73375
665,Noblesville,IN,46060,73362
666,Rocklin,CA,95677,73327
