rank,gender,name,count,frequency
321,f,Gaby,51073,1:1893
322,f,Friedel,51071,1:1893
323,m,Arnold,50555,1:1912
324,f,Mechthild,49706,1:1945
325,f,Judith,49466,1:1954
326,f,Emma,49384,1:1958
327,f,Heide,49382,1:1958
328,m,Gerald,49225,1:1964
329,m,Theodor,49205,1:1965
330,m,Hans-Georg,48796,1:1981
331,f,Karola,48696,1:1985
332,m,Marcel,48588,1:1990
333,m,Artur,48311,1:2001
334,f,Jennifer,47855,1:2020
335,m,Emil,47583,1:2032
336,f,Therese,47486,1:2036
337,m,Ralph,46711,1:2070
338,m,Klaus-Peter,46542,1:2077
339,f,Tina,46328,1:2087
340,m,Fred,45844,1:2109
341,m,Gustav,45509,1:2124
342,m,Edmund,44849,1:2156
343,f,Sarah,44590,1:2168
344,f,Marie,44351,1:2180
345,m,Maik,43663,1:2214
346,f,Isolde,43169,1:2240
347,f,Lore,43045,1:2246
348,m,Ferdinand,43025,1:2247
349,f,Paula,42986,1:2249
350,f,Jessica,42741,1:2262
351,m,Bodo,42373,1:2282
352,m,Ronald,42224,1:2290
353,f,Eleonore,42032,1:2300
354,m,August,41924,1:2306
355,f,Kornelia,41497,1:2330
356,f,Waltraut,41225,1:2345
357,m,Benjamin,41182,1:2348
358,m,Hans-Werner,41087,1:2353
359,f,Steffi,40641,1:2379
360,f,Mathilde,40640,1:2379
361,m,Dennis,40465,1:2389
362,f,Maren,40373,1:2395
363,m,Björn,40341,1:2397
364,f,Liane,40325,1:2397
365,f,Dorothee,40163,1:2407
366,f,Thea,40097,1:2411
367,m,Felix,39885,1:2424
368,f,Regine,39464,1:2450
369,m,Willy,39323,1:2459
370,f,Annett,38795,1:2492
371,f,Elsbeth,38525,1:2509
372,m,Manuel,38180,1:2532
373,m,Leo,38126,1:2536
374,m,Mike,37774,1:2559
375,m,Hugo,37556,1:2574
376,m,Henning,37217,1:2598
377,f,Sibylle,36792,1:2628
378,m,Gert,36552,1:2645
379,f,Marie-Luise,36546,1:2645
380,f,Patricia,36377,1:2658
381,f,Frauke,36201,1:2671
382,m,Roman,35972,1:2688
383,m,Wolfram,35592,1:2716
384,f,Pia,35566,1:2718
385,f,Sybille,35291,1:2739
386,f,Margrit,34969,1:2765
387,f,Berta,34280,1:2820
388,m,Simon,34247,1:2823
389,m,Oskar,34127,1:2833
390,m,Gregor,33878,1:2854
391,f,Kristina,33729,1:2866
392,f,Brigitta,33714,1:2868
393,m,Gunter,33678,1:2871
394,f,Karla,33561,1:2881
395,f,Gabriela,33388,1:2896
396,f,Liselotte,33304,1:2903
397,f,Marlis,32896,1:2939
398,f,Juliane,32892,1:2939
399,f,Ingeburg,32827,1:2945
400,m,Timo,32599,1:2966
401,m,Tim,32596,1:2966
402,f,Margitta,32148,1:3007
403,u,Kay,32073,1:3014
404,f,Josefine,31744,1:3046
405,m,Elmar,31665,1:3053
406,m,Ludger,31661,1:3054
407,f,Miriam,31026,1:3116
408,f,Beatrix,30833,1:3136
409,f,Meike,30759,1:3143
410,m,Arthur,30654,1:3154
411,f,Ursel,30262,1:3195
412,f,Valentina,30221,1:3199
413,f,Ulla,30196,1:3202
414,f,Ida,29957,1:3227
415,m,Clemens,29813,1:3243
416,m,Heribert,29679,1:3257
417,f,Jasmin,29636,1:3262
418,f,Walburga,29629,1:3263
419,m,Edwin,29619,1:3264
420,m,Ali,29525,1:3274
421,m,Albrecht,29257,1:3304
422,f,Hella,29060,1:3327
423,m,Henry,29016,1:3332
424,f,Magdalene,28990,1:3335
425,m,Heiner,28957,1:3339
426,f,Edelgard,28797,1:3357
427,f,Doreen,28690,1:3370
428,m,Mark,28630,1:3377
429,f,Linda,28362,1:3409
430,f,Maike,28001,1:3453
431,f,Ella,27875,1:3468
432,f,Carolin,27703,1:3490
433,f,Nadja,27597,1:3503
434,m,Leonhard,27589,1:3504
435,f,Helena,27544,1:3510
